Clinton Zero,County,Demgov16,"Female Pct, Median Hh Inc, Rural Pct and 1 more (clusters)",Obama Zero,Othergov16,Otherpres12 0,Otherpres16  0,Repgov16,Romney Zero,State,Trump Zero,Age29Andunder Pct,Age65Andolder Pct,Black Pct,Clf Unemploy Pct,Clinton16,Cvap,Demgov14,Demhouse16,Democratic Shift,Demsen16,Female Pct,Fips,Foreignborn Pct,Hispanic Pct,Lesscollege Pct,Lesscollege Whites Pct,Lesshs Pct,Lesshs Whites Pct,Median Hh Inc,Nonwhite Pct,Obama12,Othergov14,Otherhouse16,Otherpres Shift,Otherpres12,Otherpres16,Othersen16,Repgov14,Rephouse16,Repsen16,Republican Shift,Romney12,Rural Pct,Ruralurban Cc,Total Population,Trump16,Votes12,Votes16,White Pct
TRUE,Lawrence,NA,Cluster 1,TRUE,NA,TRUE,TRUE,NA,TRUE,Pennsylvania,TRUE,34.00167179,20.03095066,3.760392192,6.526561866,14009,70165,11985,2809,-10.48833214,15289,51.60514188,42073,1.319356588,1.24593349,79.6719335,79.45189426,10.49241703,10.35775869,45764,7.762515814,17513,0,0,2.009822887,476,1316,2317,11147,30081,22674,8.47850925,21047,40.31808403,4,88528,25428,44.86371555,34.37538341,92.23748419
TRUE,Lebanon,NA,Cluster 1,TRUE,NA,TRUE,TRUE,NA,TRUE,Pennsylvania,TRUE,37.11938664,18.23074115,1.777290982,6.497584541,18953,103190,13217,17281,-4.525468908,19079,51.13983206,42075,3.802117561,11.68820738,80.14107955,79.36517519,13.96815572,12.26909425,56191,15.98028478,19900,0,1538,2.399243756,808,2367,3060,22140,41619,39386,2.126225151,35872,26.55576186,3,136950,40525,35.17143867,30.64596976,84.01971523
TRUE,Lehigh,NA,Cluster 2,TRUE,NA,TRUE,TRUE,NA,TRUE,Pennsylvania,TRUE,38.36428906,15.8685255,5.277988361,7.721517637,81324,262635,44590,67153,-2.739019463,77232,51.27288234,42077,10.59081585,21.82824589,71.09212625,67.76749238,11.93463886,8.160261111,57685,32.42184887,78283,0,6274,2.458741102,1845,5979,6627,36870,84949,76216,0.280278361,66874,7.925676043,2,358792,73690,53.25301697,50.5139975,67.57815113
TRUE,Luzerne,NA,Cluster 1,TRUE,NA,TRUE,TRUE,NA,TRUE,Pennsylvania,TRUE,35.11760113,18.9278088,3.320299639,7.578419704,52451,247480,41574,58232,-12.82004299,56477,50.73012727,42079,5.678279929,9.343183336,77.9474471,76.91795287,10.90567552,8.675443098,46577,15.14782843,64307,0,0,1.395648913,1807,3844,8650,32562,73301,66551,11.42439408,58325,19.98485595,2,318917,78688,51.67752875,38.85748576,84.85217157
TRUE,Lycoming,NA,Cluster 1,TRUE,NA,TRUE,TRUE,NA,TRUE,Pennsylvania,TRUE,37.34492275,17.61454008,4.714004454,7.325459453,13020,91640,10990,13087,-6.950510274,14187,50.90488595,42081,1.585377387,1.783979435,79.37530987,78.92718787,11.14154685,10.97272355,48731,9.172663417,15203,0,0,2.433793128,632,1918,3365,20092,37297,33015,4.516717146,30658,36.27649404,3,116313,35627,32.69954617,25.74903589,90.82733658
TRUE,McKean,NA,Cluster 3,TRUE,NA,TRUE,TRUE,NA,TRUE,Pennsylvania,TRUE,34.90342416,18.12293178,2.407941984,7.854242895,4025,33720,2882,3710,-10.36158218,3987,48.31138961,42083,1.577131592,2.081719824,83.00484438,82.61317604,10.43864888,10.23736764,44023,6.423525546,5297,0,0,2.142141627,266,636,605,5220,12280,11530,8.219440548,9545,63.53739931,7,42609,11635,35.06089489,24.69931272,93.57647445
TRUE,Mercer,NA,Cluster 1,TRUE,NA,TRUE,TRUE,NA,TRUE,Pennsylvania,TRUE,35.28857397,19.84938655,5.658039407,6.189290861,18733,90690,14059,0,-11.82951126,19193,50.72078047,42085,1.390076616,1.321139985,78.42521458,78.10167848,10.48647431,10.12339359,45831,9.525471649,24232,0,0,2.496566379,706,2032,2046,14926,37915,30567,9.332944877,25925,44.48893157,2,114598,31544,47.64170419,35.81219293,90.47452835
TRUE,Mifflin,NA,Cluster 1,TRUE,NA,TRUE,TRUE,NA,TRUE,Pennsylvania,TRUE,35.27959644,20.2339809,0.633251046,5.21128089,3877,35860,3490,3681,-5.258066881,4031,50.90479768,42087,1.023934743,1.358806483,87.93303954,88.4698852,16.94821888,16.98380249,42019,3.694322207,4273,0,0,2.415685069,159,630,1093,7310,14180,13089,2.842381813,11939,50.46698942,4,46585,14094,26.10103231,20.84296543,96.30567779
TRUE,Monroe,NA,Cluster 2,TRUE,NA,TRUE,TRUE,NA,TRUE,Pennsylvania,TRUE,37.75594462,14.94860165,12.78257123,10.28984834,33918,126260,19229,33006,-7.353538088,34280,50.61689982,42089,10.72723574,14.64404102,76.44606934,75.84242424,10.44967237,9.717575758,58980,31.88372844,35221,0,0,2.191967873,829,2448,1768,14443,31649,30743,5.161570215,26867,38.35388184,3,167126,33386,55.98010077,48.62656268,68.11627156
TRUE,Montgomery,NA,Cluster 2,TRUE,NA,TRUE,TRUE,NA,TRUE,Pennsylvania,TRUE,36.11627257,16.42001971,8.677789272,5.895039861,256082,603170,155740,246385,2.299490594,237353,51.41590144,42091,10.34936682,4.7311111,52.5426698,51.5918882,6.097011932,4.859505797,81902,22.92088504,233356,0,0,2.569096204,4463,15874,5431,104459,125525,189574,-4.868586798,174381,2.93371206,1,815876,162731,56.61232412,58.91181471,77.07911496
